Name,Z (in),,X (in),Y (in),X (mm),Y (mm),Z (mm),Comment
M_BOT131_-1,15.5089,16.3839,-6.4878,-0.3708,-164.7901,-9.4183,393.9261,Measure bottom 13 at -1 mm
M_BOT132_-1,23.3798,24.2548,-6.2484,-0.3459,-158.7094,-8.7859,593.8469,
M_BOT133_-1,15.2257,16.1007,2.8171,-0.3681,71.5543,-9.3497,386.7328,
M_BOT134_-1,23.0966,23.9716,3.0572,-0.3420,77.6529,-8.6868,586.6536,
M_BOT_PIVIT_-1,-6.0100,-5.1350,-3.5752,-1.9418,-90.8101,-49.3217,-152.6540,
M_BOT131_-2,15.5010,16.3760,-6.4879,-0.4114,-164.7927,-10.4496,393.7254,Measure bottom 13 at -2 mm
M_BOT132_-2,23.3722,24.2472,-6.2490,-0.3603,-158.7246,-9.1516,593.6539,
M_BOT133_-2,15.2186,16.0936,2.8201,-0.4085,71.6305,-10.3759,386.5524,
M_BOT134_-2,23.0893,23.9643,3.0579,-0.3558,77.6707,-9.0373,586.4682,
M_BOT_PIVIT_-2,-6.0116,-5.1366,-3.5729,-2.0503,-90.7517,-52.0776,-152.6946,
M_BOT131_-3,15.4939,16.3689,-6.4887,-0.4510,-164.8130,-11.4554,393.5451,Measure bottom 13 at -3 mm
M_BOT132_-3,23.3643,24.2393,-6.2491,-0.3738,-158.7271,-9.4945,593.4532,
M_BOT133_-3,15.2118,16.0868,2.8214,-0.4492,71.6636,-11.4097,386.3797,
M_BOT134_-3,23.0814,23.9564,3.0590,-0.3706,77.6986,-9.4132,586.2676,
M_BOT_PIVIT_-3,-6.0128,-5.1378,-3.5736,-2.1493,-90.7694,-54.5922,-152.7251,
M_BOT131_-5,15.4778,16.3528,-6.4876,-0.5316,-164.7850,-13.5026,393.1361,Measure bottom 13 at -5 mm
M_BOT132_-5,23.3480,24.2230,-6.2491,-0.4017,-158.7271,-10.2032,593.0392,
M_BOT133_-5,15.1963,16.0713,2.8203,-0.5301,71.6356,-13.4645,385.9860,
M_BOT134_-5,23.0651,23.9401,3.0586,-0.3989,77.6884,-10.1321,585.8535,
M_BOT_PIVIT_-5,-6.0185,-5.1435,-3.5713,-2.3899,-90.7110,-60.7035,-152.8699,
M_BOT131_END,15.4625,16.3375,-6.4894,-0.6190,-164.8308,-15.7226,392.7475,Measure bottom 13 at end of travel
M_BOT132_END,23.3304,24.2054,-6.2500,-0.4315,-158.7500,-10.9601,592.5922,
M_BOT133_END,15.1811,16.0561,2.8219,-0.6188,71.6763,-15.7175,385.5999,
M_BOT134_END,23.0485,23.9235,3.0583,-0.4304,77.6808,-10.9322,585.4319,
M_BOT_PIVIT_END,-6.0187,-5.1437,-3.5740,-2.6559,-90.7796,-67.4599,-152.8750,
M_BOT131_0,15.5152,16.3902,-6.4869,-0.3316,-164.7673,-8.4226,394.0861,Measure bottom 13 at zero
M_BOT132_0,23.3874,24.2624,-6.2483,-0.3326,-158.7068,-8.4480,594.0400,
M_BOT133_0,15.2338,16.1088,2.8211,-0.3315,71.6559,-8.4201,386.9385,
M_BOT134_0,23.1039,23.9789,3.0593,-0.3298,77.7062,-8.3769,586.8391,
M_BOT_PIVIT_0,-6.0068,-5.1318,-3.5767,-1.8348,-90.8482,-46.6039,-152.5727,
M_TOP464_CHK,46.0040,46.8790,7.0076,0.3325,177.9930,8.4455,1168.5016,Check top 46
M_TOP463_CHK,30.2593,31.1343,6.5333,0.3324,165.9458,8.4430,768.5862,
M_TOP462_CHK,46.4150,47.2900,-6.5587,0.3298,-166.5910,8.3769,1178.9410,
M_TOP461_CHK,30.6691,31.5441,-7.0311,0.3322,-178.5899,8.4379,778.9951,
M_TOP464_MOVE,46.0040,46.8790,7.0082,0.3355,178.0083,8.5217,1168.5016,Measure top 46 after removing
